,duration,app_id,name,scale,exec_num,cpu_num,mem_num,tbl1_name,tbl2_name,completionTime-0,inputBytes-0,shuffleWriteBytes-0,completionTime-1,inputBytes-1,shuffleWriteBytes-1,completionTime-2,shuffleReadBytes-2
0,32820.0,app-20170609054755-0157,Q23-2-2-4-4-nation-region,2,2,4,4,nation,region,3.215,3336.0,2988.0,3.174,584.0,718.0,5.595,3706.0
1,295591.0,app-20170602170922-0431,Q23-5-4-4-4-partsupp-lineitem,5,4,4,4,partsupp,lineitem,11.534,600091310.0,321019395.0,106.638,3865016361.0,2958216658.0,161.516,3279236053.0
2,241715.0,app-20170606103815-0309,Q23-4-2-4-4-partsupp-lineitem,4,2,4,4,partsupp,lineitem,8.048,479801578.0,256549712.0,82.23,3087316780.0,2366016746.0,130.755,2622566458.0
3,92357.0,app-20170606120224-0358,Q23-5-2-4-4-customer-order,5,2,4,4,customer,order,7.596,122145118.0,93287449.0,18.338,870580522.0,551632652.0,43.567,644920101.0
4,82115.0,app-20170609082207-0270,Q23-4-2-4-4-customer-order,4,2,4,4,customer,order,6.136,97731955.0,74657187.0,17.43,695743150.0,441974162.0,37.631,516631349.0
5,41954.0,app-20170603095808-0892,Q23-5-4-4-4-nation-region,5,4,4,4,nation,region,4.605,3336.0,2988.0,4.504,584.0,718.0,7.667,3706.0
6,94872.0,app-20170609032714-0046,Q23-1-2-4-4-partsupp-lineitem,1,2,4,4,partsupp,lineitem,5.504,118998996.0,63514715.0,22.254,760190967.0,587088337.0,42.869,650603052.0
7,64169.0,app-20170602153802-0356,Q23-4-4-4-4-supplier-partsupp,4,4,4,4,supplier,partsupp,9.057,479801578.0,256543769.0,8.005,5718582.0,4666360.0,26.197,261210129.0
8,67479.0,app-20170602144252-0339,Q23-4-4-4-4-part-partsupp,4,4,4,4,part,partsupp,9.001,479801578.0,253026735.0,11.516,96933969.0,70123241.0,26.396,323149976.0
9,276820.0,app-20170602104539-0251,Q23-3-4-4-4-partsupp-lineitem,3,4,4,4,partsupp,lineitem,9.215,359551313.0,192097578.0,65.85,2310171958.0,1770564241.0,155.81,1962661819.0
10,60866.0,app-20170609041538-0093,Q23-2-2-4-4-customer-order,2,2,4,4,customer,order,5.025,48846488.0,37477598.0,10.507,345891562.0,216750271.0,16.341,254227869.0
11,48053.0,app-20170609024304-0007,Q23-1-2-4-4-customer-order,1,2,4,4,customer,order,4.714,24362768.0,18810337.0,8.903,171959313.0,107921424.0,10.974,126731761.0
12,53363.0,app-20170606075654-0211,Q23-3-2-4-4-part-partsupp,3,2,4,4,part,partsupp,7.922,359551313.0,189487969.0,7.729,72686038.0,52611829.0,13.786,242099798.0
13,53305.0,app-20170602054541-0146,Q23-2-4-4-4-part-partsupp,2,4,4,4,part,partsupp,11.434,239192537.0,125991588.0,6.286,48438588.0,35069406.0,14.688,161060994.0
14,40855.0,app-20170603041202-0680,Q23-3-4-4-4-nation-customer,3,4,4,4,nation,customer,6.361,73251779.0,52120079.0,4.689,3336.0,3990.0,9.573,52124069.0
15,36334.0,app-20170602182517-0465,Q23-5-4-4-4-supplier-nation,5,4,4,4,supplier,nation,4.753,3336.0,3990.0,4.995,7148589.0,5254899.0,8.02,5258889.0
16,37215.0,app-20170602155427-0372,Q23-4-4-4-4-nation-region,4,4,4,4,nation,region,4.397,3336.0,2988.0,4.421,584.0,718.0,7.287,3706.0
17,59673.0,app-20170602103045-0241,Q23-3-4-4-4-part-partsupp,3,4,4,4,part,partsupp,9.101,359551313.0,189487969.0,8.794,72686038.0,52611829.0,18.129,242099798.0
18,38668.0,app-20170606054118-0114,Q23-2-2-4-4-nation-customer,2,2,4,4,nation,customer,4.976,48846488.0,34767956.0,3.719,3336.0,3990.0,7.648,34771946.0
19,90370.0,app-20170609030516-0022,Q23-1-2-4-4-lineitem-order,1,2,4,4,lineitem,order,12.002,171959313.0,108726774.0,20.597,760190967.0,567345437.0,42.967,676072211.0
20,39981.0,app-20170605182517-0963,Q23-1-4-4-4-nation-customer,1,4,4,4,nation,customer,5.08,24362768.0,17406073.0,4.509,3336.0,3990.0,8.288,17410063.0
21,65166.0,app-20170603062248-0777,Q23-4-4-4-4-part-partsupp,4,4,4,4,part,partsupp,8.865,479801578.0,253026735.0,10.938,96933969.0,70123241.0,25.522,323149976.0
22,89112.0,app-20170606121100-0363,Q23-5-2-4-4-customer-order,5,2,4,4,customer,order,6.665,122145118.0,93287449.0,16.811,870580522.0,551632652.0,42.025,644920101.0
23,293805.0,app-20170603090235-0873,Q23-5-4-4-4-partsupp-lineitem,5,4,4,4,partsupp,lineitem,11.73,600091310.0,321019395.0,107.354,3865016361.0,2958216658.0,161.434,3279236053.0
24,186262.0,app-20170606083050-0228,Q23-3-2-4-4-partsupp-lineitem,3,2,4,4,partsupp,lineitem,8.732,359551313.0,192097578.0,60.131,2310171958.0,1770564241.0,95.209,1962661819.0
25,92334.0,app-20170606120916-0362,Q23-5-2-4-4-customer-order,5,2,4,4,customer,order,6.639,122145118.0,93287449.0,17.559,870580522.0,551632652.0,42.706,644920101.0
26,126587.0,app-20170609043758-0106,Q23-2-2-4-4-lineitem-order,2,2,4,4,lineitem,order,10.319,345891562.0,217474378.0,37.297,1533065387.0,1141517846.0,62.589,1358992224.0
27,32956.0,app-20170606144005-0422,Q23-5-2-4-4-nation-region,5,2,4,4,nation,region,3.311,3336.0,2988.0,3.255,584.0,718.0,6.196,3706.0
28,35580.0,app-20170606085938-0248,Q23-3-2-4-4-nation-region,3,2,4,4,nation,region,3.658,3336.0,2988.0,3.604,584.0,718.0,6.373,3706.0
29,37042.0,app-20170602050043-0101,Q23-1-4-4-4-supplier-nation,1,4,4,4,supplier,nation,4.243,3336.0,3990.0,4.506,1425488.0,1066937.0,8.075,1070927.0
30,47574.0,app-20170609023800-0002,Q23-1-2-4-4-customer-order,1,2,4,4,customer,order,3.659,24362768.0,18810337.0,8.084,171959313.0,107921424.0,11.376,126731761.0
31,35380.0,app-20170602155253-0370,Q23-4-4-4-4-nation-region,4,4,4,4,nation,region,4.443,3336.0,2988.0,4.075,584.0,718.0,7.346,3706.0
32,33399.0,app-20170609060043-0174,Q23-2-2-4-4-supplier-nation,2,2,4,4,supplier,nation,3.498,3336.0,3990.0,3.624,2855193.0,2110997.0,5.635,2114987.0
33,38767.0,app-20170606031546-0000,Q23-3-4-4-4-supplier-nation,3,4,4,4,supplier,nation,4.024,3336.0,3990.0,4.596,4287170.0,3154813.0,7.471,3158803.0
34,92159.0,app-20170609030147-0020,Q23-1-2-4-4-lineitem-order,1,2,4,4,lineitem,order,12.623,171959313.0,108726774.0,22.137,760190967.0,567345437.0,36.847,676072211.0
35,36334.0,app-20170603140039-0925,Q23-3-4-4-4-supplier-nation,3,4,4,4,supplier,nation,4.141,3336.0,3990.0,4.55,4287170.0,3154813.0,8.077,3158803.0
36,269227.0,app-20170606124056-0370,Q23-5-2-4-4-lineitem-order,5,2,4,4,lineitem,order,18.737,870580522.0,552515414.0,100.659,3865016361.0,2858252785.0,141.323,3410768199.0
37,235922.0,app-20170606105853-0314,Q23-4-2-4-4-partsupp-lineitem,4,2,4,4,partsupp,lineitem,8.692,479801578.0,256549712.0,78.074,3087316780.0,2366016746.0,131.776,2622566458.0
38,54801.0,app-20170605210005-1076,Q23-2-4-4-4-supplier-partsupp,2,4,4,4,supplier,partsupp,11.158,239192537.0,126868397.0,4.507,2855193.0,2432237.0,13.87,129300634.0
39,288886.0,app-20170609133350-0405,Q23-5-2-4-4-partsupp-lineitem,5,2,4,4,partsupp,lineitem,10.186,600091310.0,321019395.0,102.258,3865016361.0,2958216658.0,154.774,3279236053.0
40,39742.0,app-20170609123811-0384,Q23-5-2-4-4-nation-customer,5,2,4,4,nation,customer,5.771,122145118.0,86849590.0,3.104,3336.0,3990.0,8.138,86853580.0
41,66151.0,app-20170609125138-0395,Q23-5-2-4-4-part-partsupp,5,2,4,4,part,partsupp,9.999,600091310.0,316588503.0,11.401,121181705.0,87601917.0,25.231,404190420.0
42,39486.0,app-20170609091903-0293,Q23-4-2-4-4-nation-customer,4,2,4,4,nation,customer,5.464,97731955.0,69479587.0,3.188,3336.0,3990.0,7.339,69483577.0
43,53130.0,app-20170603041924-0687,Q23-3-4-4-4-part-partsupp,3,4,4,4,part,partsupp,9.014,359551313.0,189487969.0,8.961,72686038.0,52611829.0,17.539,242099798.0
44,38961.0,app-20170609092225-0297,Q23-4-2-4-4-nation-customer,4,2,4,4,nation,customer,5.573,97731955.0,69479587.0,3.404,3336.0,3990.0,7.71,69483577.0
45,187903.0,app-20170605230611-1158,Q23-3-4-4-4-partsupp-lineitem,3,4,4,4,partsupp,lineitem,10.076,359551313.0,192097578.0,60.399,2310171958.0,1770564241.0,98.674,1962661819.0
46,70894.0,app-20170609105513-0332,Q23-4-2-4-4-nation-region,4,2,4,4,nation,region,3.541,3336.0,2988.0,3.489,584.0,718.0,10.797,3706.0
47,50714.0,app-20170606062719-0145,Q23-2-2-4-4-supplier-partsupp,2,2,4,4,supplier,partsupp,8.019,239192537.0,126868397.0,4.044,2855193.0,2432237.0,12.101,129300634.0
48,33221.0,app-20170609140820-0426,Q23-5-2-4-4-nation-region,5,2,4,4,nation,region,3.17,3336.0,2988.0,3.14,584.0,718.0,5.515,3706.0
49,49620.0,app-20170606063129-0149,Q23-2-2-4-4-supplier-partsupp,2,2,4,4,supplier,partsupp,7.931,239192537.0,126868397.0,4.635,2855193.0,2432237.0,12.866,129300634.0
50,37631.0,app-20170603033307-0646,Q23-2-4-4-4-supplier-nation,2,4,4,4,supplier,nation,4.47,3336.0,3990.0,4.827,2855193.0,2110997.0,7.636,2114987.0
51,61336.0,app-20170606051041-0099,Q23-2-2-4-4-customer-order,2,2,4,4,customer,order,5.229,48846488.0,37477598.0,10.492,345891562.0,216750271.0,24.998,254227869.0
52,90776.0,app-20170609103950-0324,Q23-4-2-4-4-supplier-partsupp,4,2,4,4,supplier,partsupp,7.232,479801578.0,256543769.0,6.057,5718582.0,4666360.0,47.11,261210129.0
53,88647.0,app-20170606001128-1206,Q23-4-4-4-4-customer-order,4,4,4,4,customer,order,6.978,97731955.0,74657187.0,18.515,695743150.0,441974162.0,40.302,516631349.0
54,40307.0,app-20170606075500-0209,Q23-3-2-4-4-nation-customer,3,2,4,4,nation,customer,6.017,73251779.0,52120079.0,3.993,3336.0,3990.0,7.955,52124069.0
55,280034.0,app-20170606121241-0364,Q23-5-2-4-4-lineitem-order,5,2,4,4,lineitem,order,17.69,870580522.0,552515414.0,105.488,3865016361.0,2858252785.0,141.899,3410768199.0
56,36668.0,app-20170602094947-0205,Q23-2-4-4-4-supplier-nation,2,4,4,4,supplier,nation,4.58,3336.0,3990.0,4.708,2855193.0,2110997.0,7.904,2114987.0
57,135627.0,app-20170602055445-0153,Q23-2-4-4-4-partsupp-lineitem,2,4,4,4,partsupp,lineitem,12.354,239192537.0,127737658.0,33.42,1533065387.0,1181182732.0,76.172,1308920390.0
58,36876.0,app-20170603014507-0553,Q23-1-4-4-4-supplier-nation,1,4,4,4,supplier,nation,4.529,3336.0,3990.0,4.658,1425488.0,1066937.0,7.737,1070927.0
59,244654.0,app-20170603062927-0782,Q23-4-4-4-4-partsupp-lineitem,4,4,4,4,partsupp,lineitem,9.09,479801578.0,256549712.0,74.073,3087316780.0,2366016746.0,137.063,2622566458.0
60,68161.0,app-20170603095007-0886,Q23-5-4-4-4-supplier-partsupp,5,4,4,4,supplier,partsupp,10.56,600091310.0,321005254.0,9.671,7148589.0,5769631.0,27.624,326774885.0
61,232003.0,app-20170606111100-0317,Q23-4-2-4-4-partsupp-lineitem,4,2,4,4,partsupp,lineitem,8.503,479801578.0,256549712.0,78.96,3087316780.0,2366016746.0,127.73,2622566458.0
62,244459.0,app-20170606013240-1242,Q23-4-4-4-4-partsupp-lineitem,4,4,4,4,partsupp,lineitem,10.087,479801578.0,256549712.0,85.959,3087316780.0,2366016746.0,129.426,2622566458.0
63,56323.0,app-20170602062451-0168,Q23-2-4-4-4-supplier-partsupp,2,4,4,4,supplier,partsupp,10.934,239192537.0,126868397.0,4.941,2855193.0,2432237.0,16.237,129300634.0
64,280328.0,app-20170606134824-0401,Q23-5-2-4-4-partsupp-lineitem,5,2,4,4,partsupp,lineitem,10.428,600091310.0,321019395.0,98.482,3865016361.0,2958216658.0,156.815,3279236053.0
65,37698.0,app-20170606044054-0067,Q23-1-2-4-4-nation-region,1,2,4,4,nation,region,3.736,3336.0,2988.0,3.684,584.0,718.0,6.431,3706.0
66,33320.0,app-20170609040455-0081,Q23-1-2-4-4-supplier-nation,1,2,4,4,supplier,nation,2.963,3336.0,3990.0,3.114,1425488.0,1066937.0,5.885,1070927.0
67,38695.0,app-20170605212650-1105,Q23-2-4-4-4-supplier-nation,2,4,4,4,supplier,nation,4.511,3336.0,3990.0,4.796,2855193.0,2110997.0,7.825,2114987.0
68,36664.0,app-20170603051859-0718,Q23-3-4-4-4-nation-region,3,4,4,4,nation,region,4.372,3336.0,2988.0,4.378,584.0,718.0,7.575,3706.0
69,36107.0,app-20170603014154-0549,Q23-1-4-4-4-nation-region,1,4,4,4,nation,region,4.304,3336.0,2988.0,3.993,584.0,718.0,7.205,3706.0
70,137269.0,app-20170603025114-0611,Q23-2-4-4-4-partsupp-lineitem,2,4,4,4,partsupp,lineitem,12.494,239192537.0,127737658.0,35.08,1533065387.0,1181182732.0,73.187,1308920390.0
71,91460.0,app-20170609113446-0362,Q23-5-2-4-4-customer-order,5,2,4,4,customer,order,7.238,122145118.0,93287449.0,17.862,870580522.0,551632652.0,43.836,644920101.0
72,41447.0,app-20170602102700-0237,Q23-3-4-4-4-nation-customer,3,4,4,4,nation,customer,6.391,73251779.0,52120079.0,4.458,3336.0,3990.0,9.188,52124069.0
73,37000.0,app-20170605191501-1006,Q23-1-4-4-4-nation-region,1,4,4,4,nation,region,4.318,3336.0,2988.0,4.281,584.0,718.0,7.025,3706.0
